"No.","Time","Source","Destination","Protocol","Length","Info"
"1362","16.372919","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1363","16.372919","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1364","16.372919","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1365","16.372919","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1366","16.372919","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1367","16.373369","192.168.43.76","114.125.240.16","UDP","75","60893  >  443 Len=33"
"1368","16.373636","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1369","16.373636","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1370","16.373636","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1371","16.373636","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1372","16.379034","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1373","16.379212","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1374","16.379308","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1375","16.379409","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1376","16.379510","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1377","16.379620","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1378","16.379788","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1379","16.379788","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1380","16.379788","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1381","16.379788","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1382","16.379922","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1383","16.379922","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1384","16.379922","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1385","16.379922","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1386","16.379922","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1387","16.379922","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1388","16.379922","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1389","16.380170","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1390","16.380170","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1391","16.380170","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1392","16.380170","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1393","16.380319","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1394","16.380393","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1395","16.380393","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1396","16.380393","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1397","16.380393","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1398","16.380393","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1399","16.380393","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1400","16.380393","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1401","16.380526","192.168.43.76","114.125.240.16","UDP","75","60893  >  443 Len=33"
"1402","16.381116","192.168.43.76","114.125.240.16","UDP","75","60893  >  443 Len=33"
"1403","16.381875","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1404","16.381875","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
